Hours Per Week,surveys,asian,african am.,disabled,generic,man,white,woman
<16y,0.195536875419578,0.0,0.0,0.01,0.0,0.0,0.0,0.0
No work,0.2726437850227478,0.1428571428571428,0.215,0.885,0.03,0.0,0.02,0.1
01-14,0.02908439648489832,0.03361344537815126,0.02,0.015,0.0,0.0,0.0,0.005
15-34,0.09471638738323344,0.1260504201680672,0.235,0.075,0.01,0.015,0.01,0.145
>34,0.4080185556895424,0.6974789915966386,0.53,0.015,0.96,0.985,0.97,0.75
