Educational Attainment,surveys,asian,african am.,disabled,generic,man,white,woman
<18y,0.2215643763301115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Less than High Sc.,0.08348420040053246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
High Sc. grad.,0.2115497259614485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"College, no degree",0.1334418131317437,0.226890756302521,0.655,0.735,0.06,0.055,0.065,0.175
"College, degree",0.0976867153323497,0.2100840336134454,0.15,0.13,0.08,0.07,0.075,0.16
Bachelor or higher,0.2522731688438141,0.5630252100840336,0.195,0.135,0.86,0.875,0.86,0.665
