Citizenship,surveys,asian,african am.,disabled,generic,man,white,woman
Naturaliz.,0.07260719821206295,0.745,0,0,0,0,0,0
Not citiz.,0.06611310700756111,0.0,0,0,0,0,0,0
Native,0.8612796947803759,0.255,1,1,1,1,1,1
