Sheet,gemini,gemma,gpt,olmo
age,307.3899 (0.0000*),347.9424 (0.0000*),402.5161 (0.0000*),148.5990 (0.0000*)
sex,190.2002 (0.0000*),190.2002 (0.0000*),190.2002 (0.0000*),96.6432 (0.0000*)
ethnicity,96.0116 (0.0000*),96.0116 (0.0000*),87.5319 (0.0000*),48.2535 (0.0000*)
