Sex,surveys,asian,african am.,disabled,generic,man,white,woman
Female,0.5049601227530972,0.01680672268907563,0.115,0.86,0,0,0,1
Male,0.4950398772469028,0.9831932773109243,0.885,0.14,1,1,1,0
